Commit;Author;DOW;Month;DOM;Hour;Minute;Second;Year;TZ
deace378c705f858242de91672900bb63076f85d;m.sokolowski;Thu;Sep;3;11;02;17;2020;+0200
659bfe082ac27997e1225d50a0583fd4fd951d0b;Dennis Yurichev;Thu;Sep;3;03;02;08;2020;+0300
21f9f834663fbd897f0b88e0e414e6af1a859a43;Dennis Yurichev;Thu;Sep;3;02;57;17;2020;+0300
f79887b0e6c23bb0a1ddbc95bb324acffcd87cf7;Marcin Sokołowski;Wed;Sep;2;14;10;00;2020;+0200
cf9ae9777f791c48dd68fc3ec8e3c0102b0dde7b;Dennis Yurichev;Wed;Sep;2;06;19;00;2020;+0300
2a39d643a198fcbec2e02592dd3f6140927a6b9c;Dennis Yurichev;Wed;Sep;2;06;13;31;2020;+0300
4b0637aafb8bf9c43b428d395086bc78e7922ba2;Dennis Yurichev;Wed;Sep;2;05;19;40;2020;+0300
efc0a87519039f5611c2ebe698789c6999f86172;Marcin Sokołowski;Tue;Sep;1;20;54;38;2020;+0200
9dcec0ba5fb6a99f20b55f0f897b48a2fb9de97a;Marcin Sokołowski;Mon;Aug;31;13;04;52;2020;+0200
863942fc1a3c6221fd765053e2cd6d08e6a33c51;Marcin Sokołowski;Mon;Aug;31;12;42;36;2020;+0200
f708dd143792e9ec008683872a8a8f8e3811aae3;Marcin Sokołowski;Mon;Aug;31;10;40;53;2020;+0200
828bb297737668d47eb99635dbdd23caaf2a3be1;Marcin Sokołowski;Sun;Aug;30;22;49;34;2020;+0200
1d643eb5d13a8fc7fd4f790705a15ddc36d99565;Marcin Sokołowski;Sat;Aug;29;20;21;41;2020;+0200
31ec742e2f9baa89e06e293e1a9edc88b054f2fd;Marcin Sokołowski;Sat;Aug;29;15;45;04;2020;+0200
95800aafab11497d612e0ad6827e20e9ab4cbf75;Marcin Sokołowski;Thu;Aug;27;19;04;44;2020;+0200
eaac62d6db2d9a2a4e79fd64b334eb72172d8492;Marcin Sokołowski;Thu;Aug;27;17;16;26;2020;+0200
a8056e279618749a4e846a94a6c09e04119528c0;Marcin Sokołowski;Mon;Aug;24;17;33;00;2020;+0200
e5b76045ebf3b7446e4a55753955cccaf82eb55e;Marcin Sokołowski;Fri;Aug;21;22;05;51;2020;+0200
8a1f722857ccbf807de6ad55820e5201b7a89b68;Marcin Sokołowski;Thu;Aug;20;18;44;23;2020;+0200
a9b8410fb5464cd2c06e806b9399e42fc3456ae2;Marcin Sokołowski;Wed;Aug;19;18;31;28;2020;+0200
4df6bcf4d79e84c64f2a3c1c07e60e25f2ebe139;Marcin Sokołowski;Tue;Aug;18;22;07;48;2020;+0200
880faeda3a31341fd4b7e41d1a1391db355f32d3;Marcin Sokołowski;Tue;Aug;18;21;42;57;2020;+0200
1b8135753e1f6409db312a9c101dbc111d2b2c2f;Marcin Sokołowski;Mon;Aug;17;18;27;53;2020;+0200
1f7f9f83762d591fa50b352228b529c41f4e58bf;Marcin Sokołowski;Mon;Aug;17;18;26;53;2020;+0200
2d6045d6cd5522d842dccea6bd684f9e803926fc;Marcin Sokołowski;Sun;Aug;16;18;51;52;2020;+0200
901ba3ec588b69097023631e4fe29cf127098bb0;Marcin Sokołowski;Sun;Aug;16;17;35;10;2020;+0200
43f8b399d48066d9cc8c090b9e84a3fbbaba3c5c;Marcin Sokołowski;Sat;Aug;15;21;39;10;2020;+0200
fd7817da42451157364f343383c34667f7446a10;Dennis Yurichev;Sat;Aug;15;00;11;45;2020;+0300
f2f68ee42a525e078929d7c3f7a63c03a2dce1bb;Dennis Yurichev;Fri;Aug;14;20;13;13;2020;+0300
a7aa46cc86a8140d0d0b30b45bfa2bd82e6984bd;Dennis Yurichev;Fri;Aug;14;20;03;56;2020;+0300
5103880489a8f709ca151a443be24d9d83e3aeca;Dennis Yurichev;Fri;Aug;7;09;09;47;2020;+0300
9c11adae16f743022a896eb3bec90bb23d0a3b5e;Dennis Yurichev;Wed;Jul;29;18;31;37;2020;+0300
ebda1b5b50877c415f980a980aedefc0bbbf4320;Dennis Yurichev;Sun;Jul;26;01;33;48;2020;+0300
2a9755a0d4bf660d60e6b11fa9b536f98a752ec6;Dennis Yurichev;Fri;Jul;24;11;19;42;2020;+0300
e75250ffb505f5433f4cd4d42c99725cfe205fb3;Dennis Yurichev;Mon;Jul;20;22;34;15;2020;+0300
9807209144c6e293cc69a50cb867a986453bba9d;Dennis Yurichev;Fri;Jul;10;07;02;34;2020;+0300
2ba461c6d4bc942a136aa6dde9446b41612f8d86;Dennis Yurichev;Fri;Jun;26;07;03;02;2020;+0300
7845bcae04771abce267e9dc80ff8df52201fa28;Dennis Yurichev;Wed;Jun;17;17;12;07;2020;+0300
4cb0cb93d5478134ebcda5b80e0c973499ae0e20;Dennis Yurichev;Sat;Jun;13;16;37;03;2020;+0300
2dc12a90d43ff1516571cb12f27708615b483b6d;Dennis Yurichev;Fri;Jun;12;15;32;12;2020;+0300
c6dd30e07f155cc48c09ecc5adcd95a7fec311da;Dennis Yurichev;Sun;May;24;23;17;38;2020;+0300
de7165978061fe3c0bc4f647cc0593bfd600d4e2;Dennis Yurichev;Mon;May;11;07;06;23;2020;+0300
53cd1027ddf104ff933b52eed747469b10f5079f;Dennis Yurichev;Tue;May;5;02;43;52;2020;+0300
01fd706ed44b73e9bec4e6c375c15840f9b2ce77;Dennis Yurichev;Thu;Apr;23;16;32;36;2020;+0300
4ef79a4e98e2391dfd1ae65c9a8d8a833abf5652;Marc Remy;Fri;Apr;17;08;09;16;2020;+0200
e6d0e3c73fc8202fc58194f738a562daaa0ab7a1;Dennis Yurichev;Tue;Apr;14;14;37;12;2020;+0300
4e53cfb553270c493cf2bd906efc8d6ddec92762;Dennis Yurichev;Fri;Apr;10;16;06;48;2020;+0300
38099ebee027b97b59459810741c3c22d98173ba;Dennis Yurichev;Sun;Apr;5;07;23;06;2020;+0300
d23a549587702d457f5160b399a00ad063f6ef3d;Dennis Yurichev;Sat;Apr;4;10;29;08;2020;+0300
ba46cb96a7ddec91f64242e2ee8759129fb4fb93;Dennis Yurichev;Tue;Mar;31;08;09;14;2020;+0300
f431291e79d614684a1a871f70a3350f0bddfd9f;Dennis Yurichev;Sat;Mar;28;15;40;41;2020;+0200
094af2a8768fc5335ce21f005a94a45c1a45ee05;Dennis Yurichev;Sat;Mar;28;05;32;56;2020;+0200
4cbd4f05e95059d9aceac2af6d576363246d1423;Dennis Yurichev;Thu;Mar;19;18;46;40;2020;+0200
bd4959e8983856913c2852cd58537e3c34591953;Dennis Yurichev;Thu;Mar;5;00;13;42;2020;+0200
1cea46f3bc787773bdacff1fe7bd2264cd0da5a0;Dennis Yurichev;Tue;Mar;3;14;35;32;2020;+0200
f77633d08aa6ba89c7b4b6f3a761eb72350cbfa1;Dennis Yurichev;Sat;Feb;29;22;36;23;2020;+0200
06481e7f9aea8fb6b3cf9acc3b93d85d2797eb7e;Dennis Yurichev;Tue;Feb;25;07;28;33;2020;+0200
d280bc247ef22d48796b667964747af8277d0703;Dennis Yurichev;Tue;Feb;25;06;53;13;2020;+0200
3f955b095c6036929a245b1b08f839df97d63ab3;internaut401;Mon;Feb;24;14;39;14;2020;+0100
75758df6b3660a09bdae4172fc39327c4f3dc250;Dennis Yurichev;Sat;Feb;22;06;21;16;2020;+0200
d26d387b98e48699a74ba24d5590aa2ad4d0fe10;internaut401;Sat;Feb;22;00;05;15;2020;+0100
defe34fbdb4da3f380b5523b641934a53e8922f7;Dennis Yurichev;Mon;Feb;17;23;14;29;2020;+0200
9fc42c628f71a7c86d4cbff0717676ce5483946a;Dennis Yurichev;Mon;Feb;17;09;05;08;2020;+0200
16b7a0c39ddfeaafaf3fe1b040dc63ce05af8824;Dennis Yurichev;Fri;Feb;14;21;10;17;2020;+0200
d51e1c7da62e83dd38d40f3a85f8d8fe74dfddb4;Dennis Yurichev;Fri;Feb;14;03;54;55;2020;+0200
03bd8e133f76fa03c33c87ceb4348aa7a5db7ae6;Dennis Yurichev;Thu;Feb;6;10;18;43;2020;+0200
79395fe3147c62d15faf0ecff8160e4bb2b822d1;Dennis Yurichev;Wed;Feb;5;10;07;21;2020;+0200
2001bb2c9b00fb20d5cd0e75162442d7c4a1b99c;Dennis Yurichev;Wed;Feb;5;09;13;50;2020;+0200
b222aa4d048a2a7e5f837436d2295773866279c4;Dennis Yurichev;Thu;Jan;30;10;33;56;2020;+0200
cdb5b3bc83f6fff0f439c315daa563f1592541bc;Marc Remy;Sat;Jan;18;21;55;54;2020;+0100
419a7f311f45e1fb337f6ba6285f1d55ea71ec42;Dennis Yurichev;Sat;Jan;18;22;29;15;2020;+0200
c4c6c3ded74a377ab4dea99ceda1a22c5cbe7b16;Dennis Yurichev;Thu;Jan;16;20;54;50;2020;+0200
67adb5024e57339dbef51ab90b24c0bb32a236e0;Dennis Yurichev;Mon;Jan;13;16;13;59;2020;+0200
b997ac83f75b0d233234801a93e7d9b14749cd75;internaut401;Wed;Jan;8;09;21;34;2020;+0100
4fe4144654a9d866255b4bd6201ff4ef48a47afe;Dennis Yurichev;Wed;Jan;8;02;18;40;2020;+0200
7343ce21d32d316577336172ba8ff8794f8ad398;Dennis Yurichev;Thu;Jan;2;18;27;21;2020;+0200
b08ed8ef0980c53b01802daaea9b935b9e3a9701;Dennis Yurichev;Thu;Jan;2;18;26;05;2020;+0200
9667521fe4bb8337c8546559a18f9a45fb1340a7;Pierrick Lebourgeois;Mon;Dec;30;20;14;11;2019;+0100
f821d506667686bf26eb706be732bd174b3097be;Dennis Yurichev;Tue;Dec;24;12;08;32;2019;+0200
95f6869025b89084258218cd97c96a38f2340d50;Dennis Yurichev;Tue;Dec;24;09;59;33;2019;+0200
6742d9abf265cc07867aa92332889ba6e2d1f8d8;Dennis Yurichev;Thu;Dec;19;05;28;34;2019;+0200
c530eafa716ba90cee7d1d5d909457c5b0e77e18;Dennis Yurichev;Mon;Dec;16;05;03;33;2019;+0200
693d51fc3e59e5bda6e9e03393779c9b48d5c615;Dennis Yurichev;Sun;Dec;15;23;39;17;2019;+0200
a17e920d186fa79671ad4f5b99e85b0225d62f0a;Dennis Yurichev;Sat;Dec;14;21;41;37;2019;+0200
973a5b7f3d4bcae123a560541ef6b36be3ae137d;Dennis Yurichev;Thu;Dec;12;03;17;42;2019;+0200
a99f3d81c1a3c591ab1edb9426afce470c5ce925;Dennis Yurichev;Wed;Dec;11;01;58;02;2019;+0200
b73b8408604175bc6e5568c9a4392b767427e879;Marc Remy;Mon;Dec;9;09;43;24;2019;+0100
53575eadc93105956a0032c0201d463cf58b325a;Dennis Yurichev;Sun;Dec;8;15;53;13;2019;+0200
7a9cd932b37a78b85ad9da39a4bfcd50bc9c204f;Dennis Yurichev;Sat;Dec;7;14;24;27;2019;+0200
bb6ca56b4ee44577b261275613a573b35bdf3c9d;Marc Remy;Thu;Dec;5;20;33;46;2019;+0100
632af59308a02d3e1aa2154ddde5f0d32f671838;internaut401;Wed;Dec;4;00;43;58;2019;+0100
908ac65844228956a62348bfc9fa3451a90e7b16;Dennis Yurichev;Sat;Nov;30;20;04;46;2019;+0200
4c97f5ff7125899dcd0bb535b3d0ea9bedeba159;Dennis Yurichev;Thu;Nov;28;14;20;59;2019;+0200
dda99125991a8d94cc97499be3c35fea77cfaf92;Dennis Yurichev;Thu;Nov;28;14;00;00;2019;+0200
4880dd4b4cca43da0e4b74ad3587709589b7326e;Dennis Yurichev;Thu;Nov;28;12;58;35;2019;+0200
e9b62aa0fb62134e4f78546c21a7a48ee609a962;Dennis Yurichev;Thu;Nov;28;12;28;45;2019;+0200
49eafa0cbae7a49f4d4d577e1874de1885bd8b45;Dennis Yurichev;Thu;Nov;28;12;02;18;2019;+0200
f7b539e745ac95060c0001efd9e898f1fb289adc;internaut401;Wed;Nov;27;22;30;03;2019;+0100
77d069aa0598890c59189a7208e0b15fd95d332f;Dennis Yurichev;Wed;Nov;27;12;15;38;2019;+0200
4aaae5c2c9d5b7b082a06656b792210321eb32a9;Dennis Yurichev;Wed;Nov;27;11;56;26;2019;+0200
402cb3ff72a6a513809a870c5d1855a8de89d28c;Dennis Yurichev;Wed;Nov;27;11;15;12;2019;+0200
069aac25f30ae3c9c89dcee7b2173b0eb6c7e19b;Dennis Yurichev;Wed;Nov;27;11;12;48;2019;+0200
d6a063451822cde182a1f2feae5a5749b399b19e;Marc Remy;Tue;Nov;26;22;14;59;2019;+0100
11acedde69b074e97f6faaad87ee329b6b345fd7;Dennis Yurichev;Tue;Nov;26;22;00;15;2019;+0200
a27a31b235482b38214d4f67ffbd4af62c0d7396;Dennis Yurichev;Tue;Nov;26;21;00;10;2019;+0200
53d5cb9005a86b2c0cdfd74c7ccef4870647ec33;Dennis Yurichev;Tue;Nov;26;20;59;58;2019;+0200
